review_id,date,user,rating,comment,clean_comment
517ac15b-398f-435b-8fed-6496714f736b,2023-11-22T16:16:11Z,Joseph Caldwell,4,The quality is amazing and the staff is very friendly.,quality amazing staff friendly
9416123a-25c6-4044-9669-e3db723f7a99,2025-05-02T16:16:11Z,Katherine Combs,3,"The service was okay, did the job.",okay job
155b397e-6d06-40e0-8b42-787a0e6fbbaf,2024-07-03T17:16:11Z,Jeffrey Mcgrath,5,The quality is amazing and the staff is very friendly.,quality amazing staff friendly
3fe1725e-caae-44f0-ada9-aff68fb326e0,2025-08-04T13:16:11Z,Chelsea Parker,4,I'm a regular customer and I'm always satisfied. Great job!,regular customer always satisfied great job
ac2a82e1-6441-4e9b-a109-4562e701fce1,2024-05-18T23:16:11Z,Joshua Gallagher,4,Fantastic results. My delicate clothes were handled with care.,fantastic results delicate handled care
5927cf72-3a21-400d-b75c-e6d9292830d5,2025-03-11T10:16:11Z,Brandon Hernandez,5,Fantastic results. My delicate clothes were handled with care.,fantastic results delicate handled care
c197dd90-e575-4734-b028-46442585e9b0,2025-06-05T03:16:11Z,Bianca Becker,5,Super convenient and reliable. Wouldn't go anywhere else.,super convenient reliable go anywhere else
23e18530-4e9f-4d93-bce4-8381682775d7,2024-06-24T00:16:11Z,Donna Park,4,Very fast and professional. Highly recommended!,fast professional highly recommended
9d4db780-164d-471d-b4b0-b44f83f560c6,2024-11-19T11:16:11Z,Jessica Walters,5,I'm a regular customer and I'm always satisfied. Great job!,regular customer always satisfied great job
aab866e5-53f5-432a-9ee7-f79e76774a6e,2023-11-26T18:16:11Z,Sarah Davis,3,"It's decent, but a bit expensive for what it is.",decent bit expensive
2f04be3e-f986-4fcd-9fcf-ac77f2361a7e,2025-04-02T22:16:11Z,Vanessa Hodge,3,"It's decent, but a bit expensive for what it is.",decent bit expensive
5825a157-c578-406e-9e39-5a67cafd456c,2025-05-22T14:16:11Z,Jason Morales,3,A standard laundry service. It meets basic expectations.,standard meets basic expectations
faa34b4d-7a7e-40cb-bab1-3e3f636fe0fd,2025-06-26T13:16:11Z,Tara Holt,5,The quality is amazing and the staff is very friendly.,quality amazing staff friendly
d0b7e272-d179-4b3c-9b80-77ef994e7192,2024-11-05T08:16:11Z,Angela Lewis,4,I'm a regular customer and I'm always satisfied. Great job!,regular customer always satisfied great job
55700353-c279-4631-95f2-986c89cbc6ed,2025-04-25T18:16:11Z,Brittany Moore,3,The quality is average. Nothing special to report.,quality average nothing special report
9f13abaf-8ed4-4176-b4e1-e8ff0d79d1a6,2024-08-27T01:16:11Z,Michelle Meyer,4,"The best laundry service in town, without a doubt.",best town without doubt
fc30c7cb-61c0-4bc1-beba-c0be8ee749f6,2025-06-28T16:16:11Z,Joel Anthony,3,It works.,works
9e946350-5cd8-4bb3-b8cd-7482cb8284d3,2025-08-19T06:16:11Z,Douglas Rios,5,I'm a regular customer and I'm always satisfied. Great job!,regular customer always satisfied great job
a5fb6b6e-00eb-4ff7-8305-7b8ad4f5a5e1,2025-09-22T00:16:11Z,Amanda Lowe,4,Excellent service! My clothes came back perfect.,excellent came back perfect
9d934484-72a9-4223-8d66-2f2570dc2abb,2023-11-28T11:16:11Z,Patricia Kelly,2,Overpriced and the quality is subpar. I will not be returning.,overpriced quality subpar returning
da665b56-e63e-46f4-9ec7-0dff9d24cd76,2025-03-28T16:16:11Z,Jeffery Reyes,5,I'm a regular customer and I'm always satisfied. Great job!,regular customer always satisfied great job
0cd40914-e231-45da-97ce-2bcd215e23fd,2025-06-01T20:16:11Z,Gina Arellano,4,The quality is amazing and the staff is very friendly.,quality amazing staff friendly
